Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,1,43,1,1,1,1,1,391.971561315976,0.0401057579032343,0.601026972407266,15.74
FBL-QP,2,43,1,1,1,1,1,402.818111705012,0.039732532521289,0.604617037302512,15.9
FBL-QP,3,43,1,1,1,1,1,393.49773329524,0.0398955614612309,0.601069249401045,15.74
FBL-QP,4,43,1,1,1,1,1,395.07323584353,0.0408726413928567,0.60166684111379,15.74
FBL-QP,5,43,1,1,1,1,1,389.793787007286,0.0404217406343737,0.60101802488616,15.82
FBL-QP,1,44,1,1,1,1,1,204.227466890413,0.0435234002469723,0.557983143389067,14.76
FBL-QP,2,44,1,1,1,1,1,267.004716251884,0.0432091996686455,0.556593560428888,14.76
FBL-QP,3,44,1,1,1,1,1,205.695005584639,0.0433368986317206,0.554135584063868,14.72
FBL-QP,4,44,1,1,1,1,1,203.932429844795,0.0433119010947842,0.555530057250151,14.74
FBL-QP,5,44,1,1,1,1,1,230.615621018941,0.0439049315375482,0.552145079757837,14.7
FBL-QP,1,45,1,1,1,1,1,472.117864600904,0.0811314380652108,0.699728003303844,18.78
FBL-QP,2,45,1,1,1,1,1,546.954168769289,0.0863630868779326,0.698995744834124,18.84
FBL-QP,3,45,1,1,1,1,1,509.041540762165,0.0854675738449422,0.699415059520217,18.78
FBL-QP,4,45,1,1,1,1,1,488.343679444943,0.0844344135734636,0.698546993445756,18.82
FBL-QP,5,45,1,1,1,1,1,505.877123122104,0.0860154741388049,0.698229002194893,18.86
FBL-QP,1,46,1,1,1,1,1,246.412083891461,0.0517877941224911,0.547445796692852,20.14
FBL-QP,2,46,1,1,1,1,1,247.495460288532,0.0519055855193385,0.544932480720115,20.62
FBL-QP,3,46,1,1,1,1,1,278.20630317847,0.0535818929121387,0.551960197853616,19.68
FBL-QP,4,46,1,1,1,1,1,218.903366368656,0.051677416195595,0.540785802592919,20.98
FBL-QP,5,46,1,1,1,1,1,246.827547877837,0.052788123451818,0.544415832817334,20.74
FBL-QP,1,47,1,1,1,1,1,947.669931831242,0.0933826118422869,0.784235270636603,22.54
FBL-QP,2,47,1,1,1,1,1,871.962082243256,0.0967585290337782,0.748540000339353,23.96
FBL-QP,3,47,1,1,1,1,1,886.669348321086,0.0788313946960167,0.777826716601538,20.14
FBL-QP,4,47,1,1,1,1,1,922.748100429794,0.0874997366581253,0.78881178434446,22.12
FBL-QP,5,47,1,1,1,1,1,2942.70045178011,0.0975510571718468,0.765726257405668,25.62
FBL-QP,1,48,1,1,1,1,1,173.397218033098,0.0252005005379329,0.556200261348962,14.5
FBL-QP,2,48,1,1,1,1,1,424.796765220013,0.0250769722617405,0.578340038286115,14.94
FBL-QP,3,48,1,1,1,1,1,174.887791494029,0.0252177606173429,0.555427027863562,14.5
FBL-QP,4,48,1,1,1,1,1,197.859879602809,0.0251450145911801,0.558674794237385,14.56
FBL-QP,5,48,1,1,1,1,1,172.456173894364,0.0251920300728219,0.556023566674838,14.5
FBL-QP,1,49,1,1,1,1,1,275.815786130588,0.0480075057695432,0.710938591624336,21
FBL-QP,2,49,1,1,1,1,1,322.152154484582,0.0496875084418751,0.71430534831132,21.06
FBL-QP,3,49,1,1,1,1,1,798.311375308857,0.053071280779236,0.727673095074896,21.38
FBL-QP,4,49,1,1,1,1,1,283.347470072407,0.048822904517055,0.712081023880117,21.04
FBL-QP,5,49,1,1,1,1,1,237.994410454515,0.0485768949421173,0.710277474403649,20.98
