Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime,SceneLogError,ScenePositionError_1,ScenePositionError_2,ScenePositionError_3,SceneRotationError_1,SceneRotationError_2,SceneRotationError_3
FBL-QP,4,15,1,1,1,1,1,385.965944721171,0.0334710643955974,0.663236615826203,18.58,1.29331065501816,0.90796999871001,-1.83018779066211,0.180269433818138,0.664343165984528,0.0578495409594342,0.240743272607103
FBL-QP,5,15,1,1,1,1,1,690.521784446811,0.036297701032765,0.669896004740348,18.76,1.2933112819682,0.907971244107277,-1.83018904809718,0.180267039396751,0.66434322402438,0.0578495605101657,0.240743267766963
FBL-QP,1,16,1,1,1,1,1,1823.28958540514,0.0963554392543138,0.363677888839119,86.56,1.37045041055984,1.05722002614058,-1.44140030040277,-1.33409547171715,0.671952916840722,0.0300498612394615,0.24214586603267
FBL-QP,2,16,1,1,1,1,1,2699.47888234338,0.0949199003915468,0.337120993813305,106.8,1.3704468358701,1.05721614081079,-1.44139660844749,-1.33408831652122,0.671952771847457,0.0300498113079664,0.242145872311872
FBL-QP,3,16,1,1,1,1,1,1665.94654541366,0.096538984950413,0.369896999366999,83.98,1.37045517757108,1.05722520616748,-1.44140522193588,-1.33410501221589,0.671953111531635,0.0300499282740897,0.242145857555842
FBL-QP,4,16,1,1,1,1,1,2731.61534671745,0.0949374759958909,0.340061411985608,105.38,1.37045160223351,1.0572213211909,-1.44140153089814,-1.33409785681708,0.67195296536978,0.0300498779522454,0.242145863926709
FBL-QP,5,16,1,1,1,1,1,2536.0265173943,0.0953253875363056,0.34255562975285,102.88,1.37045279396023,1.05722261621269,-1.44140276131841,-1.33410024193335,0.671953013997044,0.0300498946890401,0.242145861807148
FBL-QP,1,17,1,1,1,1,1,2053.46386491784,0.0942792297975099,0.374890734822662,90.66,1.45020182529261,1.03552727933737,-1.84263022294079,-1.08504428714939,0.707752065761924,0.0516657090853832,0.20671439072165
FBL-QP,2,17,1,1,1,1,1,1411.62235052051,0.0944675200886523,0.405066054601549,73.48,1.45020081576935,1.03552621284436,-1.84262909088931,-1.08504171638962,0.70775209206072,0.0516657161630972,0.206714388431982
FBL-QP,3,17,1,1,1,1,1,1370.28590752321,0.0945082387607611,0.403669313083126,73.54,1.45020283483378,1.0355283458299,-1.84263135499099,-1.08504685791207,0.707752039480435,0.0516657020237624,0.206714393019423
FBL-QP,4,17,1,1,1,1,1,1410.35840073202,0.0944995757854808,0.401052084138605,75.42,1.45020283483378,1.0355283458299,-1.84263135499099,-1.08504685791207,0.707752039480435,0.0516657020237624,0.206714393019423
FBL-QP,5,17,1,1,1,1,1,1772.69196210649,0.0944322161607707,0.388328814684419,81.74,1.45019879677377,1.0355240798629,-1.84262682678208,-1.08503657487682,0.707752144710766,0.0516657303429416,0.206714383867071
FBL-QP,1,18,1,1,1,1,1,837.512262502271,0.049070925902484,0.723872246938237,19.8,1.35086534102523,0.875057280303469,-1.9777435844554,-0.294476321153411,0.685597758436044,0.0432539877759092,0.197075274785893
FBL-QP,2,18,1,1,1,1,1,671.004311949131,0.0464305946437234,0.715518330061181,19.54,1.35086614820585,0.875058305668536,-1.97774483589707,-0.294478820699375,0.685597816303788,0.0432540047361106,0.197075271441138
FBL-QP,3,18,1,1,1,1,1,454.131077120321,0.0471099738763021,0.710433691203688,19.5,1.35086857004835,0.875061381587199,-1.977748589713,-0.294486319430576,0.68559799053756,0.0432540557805597,0.197075261344206
